"id_list","star_list","txt_list"
"강인구(isbs****)","1","이게 재밌다는 분들...진짜 이해가 안 되네요식상하고 유치하고 뻔한 전개...진짜 최악의 영화열심히 연기하는 배우들이 애처롭네요.  "
"한서맘(subi****)","1","이감독 영화는 다 올드하고 촌스럽다  "
"마틸다(mati****)","1","개연성 싸그리 무시하는 연출력. 갈 곳 잃은 캐릭터 라인들.. 웹툰 원작이 너무 아깝네요  "
"gil2****","1","역시 평점은 한번 내려보기 해서 확인해야된다별로인 영화구나..나중에 기회되믄 봐야지  "
"park****","1","김래원  해바라기가  최고다  이번영화는  꽝임  "
"blue****","2","와 아직도 이런 조폭 정치영화가 에휴...ㅉㅉ  "
"러블리(oowo****)","2","호감순 믿고 봤더니....진짜 재미없어요  "
"ams0****","1","영화 한편 잘 되더니 또 설렁설렁 다음작에서 최대한 전작이 후루쿠는  아니였구나 보여줘야지...따귀한대에 모든걸 버린다. 첫눈에 반해서 님휘 영화가 아무리 판타지라지만 이건 쫌 그렇다. 이런 스토리 개연성에 투자한 투자사도 볼만하다.  "
"담화(ts2s****)","1","별점이 마이너스로 가능하다면 마이너스 주고싶은 작품.출연진들이 괜찮아서 믿고 봤지만 믿는 도끼에 제대로 발등 찍혔음.진부하고 뻔한 스토리에 과정을 보여줘야 할 부분을 너무 압축 시켜놓은 느낌임. 갑자기..? 응..? 이런 느낌을 받게 하는 영화  "
"에버(youj****)","1","0점을 줄 수 있다면 0점을 주고싶습니다. 1점도 아까운 영화. 진짜 노잼 핵노잼 개노잼 진짜 너무재미없음. 배우들 연기력 말고는 볼 것도 들을 것도 없는 영화.. 배우들 연기 얼마나 잘하나 보려고 영화를 보진 않잖아요~?  "
"그놈드록바(myna****)","1","2019년이 반 남았지만  올해 최악의 영화로 남을듯...  "
"김도원(ehdn****)","1","차라리 토익공부를 할껄... 진선규믿고 봣는데 진선규 프로필사진보는게 더웃김  "
"양씨(ggg_****)","1","이 영화의 개봉일 6월 19일. 이 영화의 런타임 118분. 조조영화 가장빠른시간 08:30. 10점남긴 애들은 특징 → 영화 끝나기도 전에 영화관에서 평점 작성ㅋㅋㅋ  "
"xxxxxx(park****)","1","흔하디 흔한 조폭영화에 이름 컨트롤 에프해서 A->B로만 바꿔 놓은수준의 영화. 이제 수준떨어지는 정치 조폭영화좀 그만보고 싶다  "
"pjj6****","3","감독은 범죄도시 잘 만들고 이건 왜 이따구로만들었는지 이해안감  "
"youngpal_and_shu(impo****)","5","관람객기대하고 봐서 그런지 ..  조폭 소재로 다룬 영화 치고 너무 순탄한 스토리.. 그렇게 재밌지도.. 웃기지도 않은 그냥 심심할때 볼만한 영화로 추천드립니다.  "
"TV는내친구(chlg****)","1","존나  삼류영화네  여자한테 특별한이유도없이 뻑가서   개유치하네  "
